 Número Guia;Código;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1919150000;Multas Previstas na Legislação de Trânsito;02/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;459.08
2;1919150000;Multas Previstas na Legislação de Trânsito;03/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;245.39
3;1919150000;Multas Previstas na Legislação de Trânsito;03/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;244.75
4;1121300000;Taxa de Autorização de Funcionamento de Transporte;06/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;281
6;1919150000;Multas Previstas na Legislação de Trânsito;07/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;697.69
7;1121300000;Taxa de Autorização de Funcionamento de Transporte;07/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;60
8;1919150000;Multas Previstas na Legislação de Trânsito;08/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;666.03
9;1121300000;Taxa de Autorização de Funcionamento de Transporte;08/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;120
10;1919150000;Multas Previstas na Legislação de Trânsito;09/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;248.09
11;1121300000;Taxa de Autorização de Funcionamento de Transporte;09/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;30
12;1919150000;Multas Previstas na Legislação de Trânsito;10/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;437.51
13;1121300000;Taxa de Autorização de Funcionamento de Transporte;10/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;161
14;1919150000;Multas Previstas na Legislação de Trânsito;13/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;339.77
15;1121300000;Taxa de Autorização de Funcionamento de Transporte;13/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;60
16;1919150000;Multas Previstas na Legislação de Trânsito;14/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;796.49
17;1121300000;Taxa de Autorização de Funcionamento de Transporte;14/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;161
18;1919150000;Multas Previstas na Legislação de Trânsito;15/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;20.91
19;1121300000;Taxa de Autorização de Funcionamento de Transporte;15/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;273
20;1919150000;Multas Previstas na Legislação de Trânsito;16/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;478.6
21;1121300000;Taxa de Autorização de Funcionamento de Transporte;16/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;371
22;1919150000;Multas Previstas na Legislação de Trânsito;17/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;470.58
23;1121300000;Taxa de Autorização de Funcionamento de Transporte;17/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;251
24;1919150000;Multas Previstas na Legislação de Trânsito;20/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;1198.54
25;1121300000;Taxa de Autorização de Funcionamento de Transporte;20/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;821
26;1919150000;Multas Previstas na Legislação de Trânsito;21/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;539.96
27;1121300000;Taxa de Autorização de Funcionamento de Transporte;21/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;420
28;1919150000;Multas Previstas na Legislação de Trânsito;22/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;93.06
29;1121300000;Taxa de Autorização de Funcionamento de Transporte;22/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;600
30;1919150000;Multas Previstas na Legislação de Trânsito;23/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;590.49
31;1121300000;Taxa de Autorização de Funcionamento de Transporte;23/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;1340.00
32;1919150000;Multas Previstas na Legislação de Trânsito;24/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;531.23
33;1121300000;Taxa de Autorização de Funcionamento de Transporte;24/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;1001.00
34;1919150000;Multas Previstas na Legislação de Trânsito;27/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;773.85
35;1121300000;Taxa de Autorização de Funcionamento de Transporte;27/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;281
36;1919150000;Multas Previstas na Legislação de Trânsito;28/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;387.99
37;1121300000;Taxa de Autorização de Funcionamento de Transporte;28/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;30
38;1919150000;Multas Previstas na Legislação de Trânsito;29/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;295.25
39;1121300000;Taxa de Autorização de Funcionamento de Transporte;29/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;251
40;1919150000;Multas Previstas na Legislação de Trânsito;30/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;931.67
41;1121300000;Taxa de Autorização de Funcionamento de Transporte;30/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;161
42;1919150000;Multas Previstas na Legislação de Trânsito;31/01/2014;SCTRANS;04.342.393/0001-72;120000.00;0;276.42
43;1121300000;Taxa de Autorização de Funcionamento de Transporte;31/01/2014;SCTRANS;04.342.393/0001-72;100000.00;0;221
44;1325020100;Receita de Remuneração de Depósitos de Poupança;31/01/2014;BANCO DO BRASIL S/A;00.000.000/0099-03;1000.00;0;92.53
45;1121300000;Taxa de Autorização de Funcionamento de Transporte;03/02/2014;SCTRANS;04.342.393/0001-72;100000.00;0;90
46;1919150000;Multas Previstas na Legislação de Trânsito;04/02/2014;SCTRANS;04.342.393/0001-72;120000.00;0;1102.22
