 Número Guia;Código;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1910011100;Multas Previstas em Legislação de Trânsito;02/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;3739.54
2;1910011100;Multas Previstas em Legislação de Trânsito;03/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;3139.28
3;1121011102;Taxa de Autorização de Funcionamento de Transporte;03/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;430
4;1121011102;Taxa de Autorização de Funcionamento de Transporte;06/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;282.8
5;1910011100;Multas Previstas em Legislação de Trânsito;07/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;1641.94
6;1121011102;Taxa de Autorização de Funcionamento de Transporte;07/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;377.4
7;1910011100;Multas Previstas em Legislação de Trânsito;08/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;1334.31
8;1121011102;Taxa de Autorização de Funcionamento de Transporte;08/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;1177.20
9;1910011100;Multas Previstas em Legislação de Trânsito;09/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;1718.80
10;1121011102;Taxa de Autorização de Funcionamento de Transporte;09/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;222.8
11;1990991100;Outras Receitas - Zona Azul;07/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;70000.00;0;4944.80
12;1910011100;Multas Previstas em Legislação de Trânsito;10/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;1632.42
13;1121011102;Taxa de Autorização de Funcionamento de Transporte;10/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;689.2
14;1910011100;Multas Previstas em Legislação de Trânsito;13/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;1133.04
15;1121011102;Taxa de Autorização de Funcionamento de Transporte;13/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;585.6
16;1910011100;Multas Previstas em Legislação de Trânsito;14/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;2466.48
17;1121011102;Taxa de Autorização de Funcionamento de Transporte;14/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;434
18;1910011100;Multas Previstas em Legislação de Trânsito;15/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;1252.64
19;1121011102;Taxa de Autorização de Funcionamento de Transporte;15/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;1453.80
20;1910011100;Multas Previstas em Legislação de Trânsito;16/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;1359.76
21;1121011102;Taxa de Autorização de Funcionamento de Transporte;16/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;1028.80
22;1910011100;Multas Previstas em Legislação de Trânsito;17/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;880.54
23;1121011102;Taxa de Autorização de Funcionamento de Transporte;17/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;266.8
24;1910011100;Multas Previstas em Legislação de Trânsito;20/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;1836.25
25;1121011102;Taxa de Autorização de Funcionamento de Transporte;20/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;1457.80
26;1910011100;Multas Previstas em Legislação de Trânsito;21/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;1587.93
27;1121011102;Taxa de Autorização de Funcionamento de Transporte;21/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;880
28;1910011100;Multas Previstas em Legislação de Trânsito;22/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;930.7
29;1121011102;Taxa de Autorização de Funcionamento de Transporte;22/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;39.6
30;1910011100;Multas Previstas em Legislação de Trânsito;23/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;1576.77
31;1121011102;Taxa de Autorização de Funcionamento de Transporte;23/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;123.2
32;1910011100;Multas Previstas em Legislação de Trânsito;24/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;582.75
33;1121011102;Taxa de Autorização de Funcionamento de Transporte;24/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;588.8
34;1910011100;Multas Previstas em Legislação de Trânsito;27/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;2316.26
35;1121011102;Taxa de Autorização de Funcionamento de Transporte;27/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167000.00;0;263.8
36;1910011100;Multas Previstas em Legislação de Trânsito;28/01/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610000.00;0;1411.11
