 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1919150000-Multas Previstas na Legislação de Trânsito;04/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;532,1
2;1919150000-Multas Previstas na Legislação de Trânsito;05/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;137,87
3;1919150000-Multas Previstas na Legislação de Trânsito;05/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;598,53
4;1121300000-Taxa de Autorização de Funcionamento de Transporte;05/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;109.203,00;0;200
5;1121300000-Taxa de Autorização de Funcionamento de Transporte;06/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;109.203,00;0;386
6;1919150000-Multas Previstas na Legislação de Trânsito;07/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;345,29
7;1121300000-Taxa de Autorização de Funcionamento de Transporte;07/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;109.203,00;0;366
8;1919150000-Multas Previstas na Legislação de Trânsito;08/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;742,78
9;1121300000-Taxa de Autorização de Funcionamento de Transporte;08/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;109.203,00;0;200
10;1919150000-Multas Previstas na Legislação de Trânsito;11/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;142,31
11;1919150000-Multas Previstas na Legislação de Trânsito;12/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;244,62
12;1121300000-Taxa de Autorização de Funcionamento de Transporte;12/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;109.203,00;0;122
13;1919150000-Multas Previstas na Legislação de Trânsito;13/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;365,88
14;1121300000-Taxa de Autorização de Funcionamento de Transporte;13/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;109.203,00;0;273
15;1919150000-Multas Previstas na Legislação de Trânsito;14/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;108,36
16;1121300000-Taxa de Autorização de Funcionamento de Transporte;14/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;109.203,00;0;213
17;1919150000-Multas Previstas na Legislação de Trânsito;15/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;250,67
18;1121300000-Taxa de Autorização de Funcionamento de Transporte;15/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;109.203,00;0;280
19;1919150000-Multas Previstas na Legislação de Trânsito;18/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;362,95
20;1919150000-Multas Previstas na Legislação de Trânsito;19/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;294,35
21;1121300000-Taxa de Autorização de Funcionamento de Transporte;19/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;109.203,00;0;113
22;1919150000-Multas Previstas na Legislação de Trânsito;20/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;142,32
23;1121300000-Taxa de Autorização de Funcionamento de Transporte;20/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;109.203,00;0;213
24;1121300000-Taxa de Autorização de Funcionamento de Transporte;21/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;109.203,00;0;213
25;1919150000-Multas Previstas na Legislação de Trânsito;22/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;294,27
26;1919150000-Multas Previstas na Legislação de Trânsito;25/01/2016;BANCO DO BRASIL S/A;00.000.000/0099-03;131.043,00;0;218,75
