 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1910011100-Multas Previstas em Legislação de Trânsito;02/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720.000,00;0;3.483,36
2;1121011102-Taxa de Autorização de Funcionamento de Transporte;02/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120.000,00;0;104,5
3;1910011100-Multas Previstas em Legislação de Trânsito;03/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720.000,00;0;3.175,15
4;1121011102-Taxa de Autorização de Funcionamento de Transporte;04/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120.000,00;0;199,2
5;1910011100-Multas Previstas em Legislação de Trânsito;07/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720.000,00;0;1.727,08
6;1121011102-Taxa de Autorização de Funcionamento de Transporte;07/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120.000,00;0;387,2
7;1910011100-Multas Previstas em Legislação de Trânsito;08/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720.000,00;0;3.326,97
8;1121011102-Taxa de Autorização de Funcionamento de Transporte;08/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120.000,00;0;263,2
9;1910011100-Multas Previstas em Legislação de Trânsito;09/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720.000,00;0;3.098,83
10;1121011102-Taxa de Autorização de Funcionamento de Transporte;09/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120.000,00;0;406,8
11;1910011100-Multas Previstas em Legislação de Trânsito;10/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720.000,00;0;3.480,45
12;1121011102-Taxa de Autorização de Funcionamento de Transporte;10/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120.000,00;0;426,4
13;1910011100-Multas Previstas em Legislação de Trânsito;11/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720.000,00;0;1.975,70
14;1121011102-Taxa de Autorização de Funcionamento de Transporte;11/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120.000,00;0;143,8
15;1910011100-Multas Previstas em Legislação de Trânsito;14/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720.000,00;0;1.905,83
16;1121011102-Taxa de Autorização de Funcionamento de Transporte;14/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120.000,00;0;564,7
17;1910011100-Multas Previstas em Legislação de Trânsito;15/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720.000,00;0;1.217,99
18;1121011102-Taxa de Autorização de Funcionamento de Transporte;15/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120.000,00;0;362,8
19;1910011100-Multas Previstas em Legislação de Trânsito;16/01/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720.000,00;0;375,65
