 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1918000001-Multas e Juros de Mora de Outras Receitas;02/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;356,08
2;1918000001-Multas e Juros de Mora de Outras Receitas;03/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;865,51
3;1918000001-Multas e Juros de Mora de Outras Receitas;03/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;160,46
4;1918000001-Multas e Juros de Mora de Outras Receitas;07/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;317,05
5;1121310001-Taxa de Utilização de Área de Domínio Público;07/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;169.726,00;0;289
6;1918000001-Multas e Juros de Mora de Outras Receitas;08/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;306,42
7;1918000001-Multas e Juros de Mora de Outras Receitas;08/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;245,37
8;1121310001-Taxa de Utilização de Área de Domínio Público;08/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;169.726,00;0;163
9;1121310001-Taxa de Utilização de Área de Domínio Público;09/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;169.726,00;0;99
10;1918000001-Multas e Juros de Mora de Outras Receitas;10/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;1.051,63
11;1121310001-Taxa de Utilização de Área de Domínio Público;10/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;169.726,00;0;663
12;1918000001-Multas e Juros de Mora de Outras Receitas;11/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;423,82
13;1918000001-Multas e Juros de Mora de Outras Receitas;14/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;771,49
14;1121310001-Taxa de Utilização de Área de Domínio Público;14/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;169.726,00;0;227
15;1918000001-Multas e Juros de Mora de Outras Receitas;15/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;632,91
16;1918000001-Multas e Juros de Mora de Outras Receitas;15/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;244
17;1121310001-Taxa de Utilização de Área de Domínio Público;15/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;169.726,00;0;109
18;1918000001-Multas e Juros de Mora de Outras Receitas;17/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;183,36
19;1918000001-Multas e Juros de Mora de Outras Receitas;18/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;367,37
20;1918000001-Multas e Juros de Mora de Outras Receitas;21/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;93,05
21;1918000001-Multas e Juros de Mora de Outras Receitas;22/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;403,38
22;1918000001-Multas e Juros de Mora de Outras Receitas;22/01/2013;SUPERINTENDÊNCIA CAJAZEIRENSE DE TRÂNSITO;04.342.393/0001-72;129.676,00;0;286,49
