 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
264;1121011102-Taxa de Autorização de Funcionamento de Transporte;12/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;1.033,60
265;1910011100-Multas Previstas em Legislação de Trânsito;13/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.717,16
266;1121011102-Taxa de Autorização de Funcionamento de Transporte;13/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;1.194,40
267;1910011100-Multas Previstas em Legislação de Trânsito;14/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.114,39
268;1121011102-Taxa de Autorização de Funcionamento de Transporte;14/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;247,2
269;1910011100-Multas Previstas em Legislação de Trânsito;17/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.393,92
270;1121011102-Taxa de Autorização de Funcionamento de Transporte;17/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;346,8
271;1910011100-Multas Previstas em Legislação de Trânsito;18/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.157,35
272;1121011102-Taxa de Autorização de Funcionamento de Transporte;18/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;191,2
273;1910011100-Multas Previstas em Legislação de Trânsito;19/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;916,62
274;1121011102-Taxa de Autorização de Funcionamento de Transporte;19/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;290,8
275;1910011100-Multas Previstas em Legislação de Trânsito;20/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.030,88
276;1121011102-Taxa de Autorização de Funcionamento de Transporte;20/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;1.895,10
277;1910011100-Multas Previstas em Legislação de Trânsito;20/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;27.202,67
278;1910011100-Multas Previstas em Legislação de Trânsito;21/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.977,46
279;1121011102-Taxa de Autorização de Funcionamento de Transporte;21/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;984,3
280;1910011100-Multas Previstas em Legislação de Trânsito;24/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.466,99
281;1121011102-Taxa de Autorização de Funcionamento de Transporte;24/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;1.230,40
282;1910011100-Multas Previstas em Legislação de Trânsito;25/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.830,31
283;1121011102-Taxa de Autorização de Funcionamento de Transporte;25/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;470,2
284;1910011100-Multas Previstas em Legislação de Trânsito;25/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;275,75
285;1121011102-Taxa de Autorização de Funcionamento de Transporte;26/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;131,6
286;1910011100-Multas Previstas em Legislação de Trânsito;27/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;3.943,88
288;1121011102-Taxa de Autorização de Funcionamento de Transporte;27/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;513,6
289;1990991100-Outras Receitas - Zona Azul;27/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;70.000,00;0;3.167,20
290;1910011100-Multas Previstas em Legislação de Trânsito;28/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;756,81
291;1121011102-Taxa de Autorização de Funcionamento de Transporte;28/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;163,6
292;1910011100-Multas Previstas em Legislação de Trânsito;31/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.808,26
293;1121011102-Taxa de Autorização de Funcionamento de Transporte;31/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;83,6
294;1321001103-Remuneração de Outros Depósitos de Recursos não vinculados;31/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;1.000,00;0;2,82
295;1121011102-Taxa de Autorização de Funcionamento de Transporte;05/08/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;855,7
296;1910011100-Multas Previstas em Legislação de Trânsito;01/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.439,84
297;1121011102-Taxa de Autorização de Funcionamento de Transporte;01/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;995,6
298;1910011100-Multas Previstas em Legislação de Trânsito;02/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;4.485,30
299;1121011102-Taxa de Autorização de Funcionamento de Transporte;02/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;1.407,40
300;1910011100-Multas Previstas em Legislação de Trânsito;03/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;5.441,35
301;1121011102-Taxa de Autorização de Funcionamento de Transporte;03/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;946,7
304;1910011100-Multas Previstas em Legislação de Trânsito;04/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.039,94
305;1121011102-Taxa de Autorização de Funcionamento de Transporte;04/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;675,2
306;1910011100-Multas Previstas em Legislação de Trânsito;08/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.518,04
307;1121011102-Taxa de Autorização de Funcionamento de Transporte;08/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;306,8
308;1910011100-Multas Previstas em Legislação de Trânsito;09/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.112,02
309;1121011102-Taxa de Autorização de Funcionamento de Transporte;09/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;996,3
310;1910011100-Multas Previstas em Legislação de Trânsito;10/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;770,8
311;1910011100-Multas Previstas em Legislação de Trânsito;11/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.158,80
312;1121011102-Taxa de Autorização de Funcionamento de Transporte;11/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;886,8
313;1910011100-Multas Previstas em Legislação de Trânsito;14/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.468,15
314;1121011102-Taxa de Autorização de Funcionamento de Transporte;14/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;163,6
315;1910011100-Multas Previstas em Legislação de Trânsito;15/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.667,30
316;1121011102-Taxa de Autorização de Funcionamento de Transporte;15/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;250,8
317;1910011100-Multas Previstas em Legislação de Trânsito;16/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.928,81
318;1910011100-Multas Previstas em Legislação de Trânsito;17/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.099,95
319;1121011102-Taxa de Autorização de Funcionamento de Transporte;17/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;518,8
320;1910011100-Multas Previstas em Legislação de Trânsito;18/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.207,51
321;1910011100-Multas Previstas em Legislação de Trânsito;18/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.948,68
322;1121011102-Taxa de Autorização de Funcionamento de Transporte;18/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;347,4
323;1121011102-Taxa de Autorização de Funcionamento de Transporte;21/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;387,4
324;1910011100-Multas Previstas em Legislação de Trânsito;21/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.189,41
325;1910011100-Multas Previstas em Legislação de Trânsito;22/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.640,03
