 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1919150000-Multas Previstas na Legislação de Trânsito;02/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.280,45
2;1121300000-Taxa de Autorização de Funcionamento de Transporte;02/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;40
3;1919150000-Multas Previstas na Legislação de Trânsito;03/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;2.280,38
4;1121300000-Taxa de Autorização de Funcionamento de Transporte;04/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;40
5;1919150000-Multas Previstas na Legislação de Trânsito;05/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;2.795,67
6;1121300000-Taxa de Autorização de Funcionamento de Transporte;05/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;173
7;1919150000-Multas Previstas na Legislação de Trânsito;08/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.869,01
8;1121300000-Taxa de Autorização de Funcionamento de Transporte;08/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;320
9;1919150000-Multas Previstas na Legislação de Trânsito;09/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.051,35
10;1121300000-Taxa de Autorização de Funcionamento de Transporte;09/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;127
11;1919150000-Multas Previstas na Legislação de Trânsito;10/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;382,02
12;1121300000-Taxa de Autorização de Funcionamento de Transporte;10/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;240
14;1919150000-Multas Previstas na Legislação de Trânsito;11/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;621,46
15;1121300000-Taxa de Autorização de Funcionamento de Transporte;11/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;140
16;1919150000-Multas Previstas na Legislação de Trânsito;12/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;416,39
17;1121300000-Taxa de Autorização de Funcionamento de Transporte;12/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;160
18;1919150000-Multas Previstas na Legislação de Trânsito;15/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;802,41
19;1121300000-Taxa de Autorização de Funcionamento de Transporte;15/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;120
20;1919150000-Multas Previstas na Legislação de Trânsito;16/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;2.758,05
21;1121300000-Taxa de Autorização de Funcionamento de Transporte;16/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;147
22;1919150000-Multas Previstas na Legislação de Trânsito;17/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.877,06
23;1121300000-Taxa de Autorização de Funcionamento de Transporte;17/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;80
24;1919150000-Multas Previstas na Legislação de Trânsito;18/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;911,58
25;1121300000-Taxa de Autorização de Funcionamento de Transporte;18/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;227
26;1919150000-Multas Previstas na Legislação de Trânsito;19/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.097,98
27;1121300000-Taxa de Autorização de Funcionamento de Transporte;19/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;457
28;1121300000-Taxa de Autorização de Funcionamento de Transporte;22/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;180
29;1919150000-Multas Previstas na Legislação de Trânsito;22/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;711,1
30;1919150000-Multas Previstas na Legislação de Trânsito;23/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;247,32
31;1121300000-Taxa de Autorização de Funcionamento de Transporte;23/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;260
32;1919150000-Multas Previstas na Legislação de Trânsito;24/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.041,27
33;1121300000-Taxa de Autorização de Funcionamento de Transporte;24/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;360
34;1919150000-Multas Previstas na Legislação de Trânsito;25/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.830,20
35;1121300000-Taxa de Autorização de Funcionamento de Transporte;25/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;460
36;1919150000-Multas Previstas na Legislação de Trânsito;26/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;85,61
37;1121300000-Taxa de Autorização de Funcionamento de Transporte;26/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;313
38;1919150000-Multas Previstas na Legislação de Trânsito;29/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.768,94
39;1121300000-Taxa de Autorização de Funcionamento de Transporte;29/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;573
40;1919150000-Multas Previstas na Legislação de Trânsito;30/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;3.021,57
41;1121300000-Taxa de Autorização de Funcionamento de Transporte;30/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;360
42;1919150000-Multas Previstas na Legislação de Trânsito;31/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;2.468,55
43;1121300000-Taxa de Autorização de Funcionamento de Transporte;31/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;317
44;1325029900-Remuneração de Outros Depósitos de Recursos não vinculados;31/01/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;11.000,00;0;29,94
45;1919150000-Multas Previstas na Legislação de Trânsito;01/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.257,07
46;1121300000-Taxa de Autorização de Funcionamento de Transporte;01/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;260
47;1919150000-Multas Previstas na Legislação de Trânsito;02/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;3.917,22
48;1121300000-Taxa de Autorização de Funcionamento de Transporte;02/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;260
49;1919150000-Multas Previstas na Legislação de Trânsito;05/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;3.736,56
50;1121300000-Taxa de Autorização de Funcionamento de Transporte;05/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;370
52;1919150000-Multas Previstas na Legislação de Trânsito;06/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;2.030,29
53;1121300000-Taxa de Autorização de Funcionamento de Transporte;06/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;140
54;1919150000-Multas Previstas na Legislação de Trânsito;06/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;596,06
55;1919150000-Multas Previstas na Legislação de Trânsito;07/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;3.276,48
56;1121300000-Taxa de Autorização de Funcionamento de Transporte;07/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;40
57;1919150000-Multas Previstas na Legislação de Trânsito;08/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.286,91
58;1121300000-Taxa de Autorização de Funcionamento de Transporte;08/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;300
59;1919150000-Multas Previstas na Legislação de Trânsito;09/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.506,61
60;1121300000-Taxa de Autorização de Funcionamento de Transporte;09/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;263,33
61;1121300000-Taxa de Autorização de Funcionamento de Transporte;14/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;313
63;1919150000-Multas Previstas na Legislação de Trânsito;15/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;979,1
64;1919150000-Multas Previstas na Legislação de Trânsito;16/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;2.755,47
65;1919150000-Multas Previstas na Legislação de Trânsito;16/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;2.890,76
66;1121300000-Taxa de Autorização de Funcionamento de Transporte;16/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;60
67;1919150000-Multas Previstas na Legislação de Trânsito;20/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.356,60
68;1121300000-Taxa de Autorização de Funcionamento de Transporte;20/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;480
69;1919150000-Multas Previstas na Legislação de Trânsito;20/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;2.526,99
70;1121300000-Taxa de Autorização de Funcionamento de Transporte;20/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;280
71;1919150000-Multas Previstas na Legislação de Trânsito;22/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;600.000,00;64.910,05;1.388,16
72;1121300000-Taxa de Autorização de Funcionamento de Transporte;22/02/2018;BANCO DO BRASIL S/A;00.000.000/0099-03;110.000,00;0;340
