 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1919150000-Multas Previstas na Legislação de Trânsito;05/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;255,51
2;1919150000-Multas Previstas na Legislação de Trânsito;05/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;277,16
3;1919150000-Multas Previstas na Legislação de Trânsito;06/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;296,62
4;1121300000-Taxa de Autorização de Funcionamento de Transporte;06/01/2015;SCTRANS;04.342.393/0001-72;108.070,00;0;80
5;1919150000-Multas Previstas na Legislação de Trânsito;07/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;306,04
6;1121300000-Taxa de Autorização de Funcionamento de Transporte;07/01/2015;SCTRANS;04.342.393/0001-72;108.070,00;0;241
7;1919150000-Multas Previstas na Legislação de Trânsito;08/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;173,24
8;1121300000-Taxa de Autorização de Funcionamento de Transporte;08/01/2015;SCTRANS;04.342.393/0001-72;108.070,00;0;91
9;1919150000-Multas Previstas na Legislação de Trânsito;09/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;306,75
10;1121300000-Taxa de Autorização de Funcionamento de Transporte;09/01/2015;SCTRANS;04.342.393/0001-72;108.070,00;0;251
11;1919150000-Multas Previstas na Legislação de Trânsito;12/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;575,63
12;1121300000-Taxa de Autorização de Funcionamento de Transporte;12/01/2015;SCTRANS;04.342.393/0001-72;108.070,00;0;91
13;1919150000-Multas Previstas na Legislação de Trânsito;13/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;154,4
14;1919150000-Multas Previstas na Legislação de Trânsito;15/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;195,53
15;1919150000-Multas Previstas na Legislação de Trânsito;16/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;264,91
16;1121300000-Taxa de Autorização de Funcionamento de Transporte;16/01/2015;SCTRANS;04.342.393/0001-72;108.070,00;0;644
17;1919150000-Multas Previstas na Legislação de Trânsito;19/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;520,44
18;1121300000-Taxa de Autorização de Funcionamento de Transporte;19/01/2015;SCTRANS;04.342.393/0001-72;108.070,00;0;40
19;1919150000-Multas Previstas na Legislação de Trânsito;20/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;112,59
20;1121300000-Taxa de Autorização de Funcionamento de Transporte;20/01/2015;SCTRANS;04.342.393/0001-72;108.070,00;0;342
21;1919150000-Multas Previstas na Legislação de Trânsito;21/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;376,81
22;1121300000-Taxa de Autorização de Funcionamento de Transporte;21/01/2015;SCTRANS;04.342.393/0001-72;108.070,00;0;291
23;1919150000-Multas Previstas na Legislação de Trânsito;22/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;442,9
24;1121300000-Taxa de Autorização de Funcionamento de Transporte;22/01/2015;SCTRANS;04.342.393/0001-72;108.070,00;0;171
25;1919150000-Multas Previstas na Legislação de Trânsito;23/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;266,31
26;1121300000-Taxa de Autorização de Funcionamento de Transporte;23/01/2015;SCTRANS;04.342.393/0001-72;108.070,00;0;91
27;1919150000-Multas Previstas na Legislação de Trânsito;26/01/2015;SCTRANS;04.342.393/0001-72;143.131,00;0;119,34
