 Número Guia;Código;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
203;1910011100;Multas Previstas em Legislação de Trânsito;27/05/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;965.1
204;1121011102;Taxa de Autorização de Funcionamento de Transporte;28/05/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;40
205;1910011100;Multas Previstas em Legislação de Trânsito;28/05/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1377.61
206;1910011100;Multas Previstas em Legislação de Trânsito;29/05/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1931.17
207;1121011102;Taxa de Autorização de Funcionamento de Transporte;29/05/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;531.5
208;1121011102;Taxa de Autorização de Funcionamento de Transporte;30/05/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;104.5
209;1910011100;Multas Previstas em Legislação de Trânsito;30/05/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2451.06
210;1121011102;Taxa de Autorização de Funcionamento de Transporte;31/05/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;266.8
211;1910011100;Multas Previstas em Legislação de Trânsito;31/05/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;3622.09
212;1321001103;Remuneração de Outros Depósitos de Recursos não vinculados;31/05/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;10000.00;0;9.96
213;1121011102;Taxa de Autorização de Funcionamento de Transporte;03/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;23.6
214;1910011100;Multas Previstas em Legislação de Trânsito;03/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2103.26
215;1910011100;Multas Previstas em Legislação de Trânsito;04/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;3073.45
216;1121011102;Taxa de Autorização de Funcionamento de Transporte;04/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;167.2
217;1121011102;Taxa de Autorização de Funcionamento de Transporte;05/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;423.2
218;1910011100;Multas Previstas em Legislação de Trânsito;05/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;4352.65
219;1910011100;Multas Previstas em Legislação de Trânsito;06/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1498.37
220;1121011102;Taxa de Autorização de Funcionamento de Transporte;06/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;1266.20
221;1910011100;Multas Previstas em Legislação de Trânsito;07/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2343.83
222;1121011102;Taxa de Autorização de Funcionamento de Transporte;07/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;96.6
223;1910011100;Multas Previstas em Legislação de Trânsito;10/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1282.90
224;1910011100;Multas Previstas em Legislação de Trânsito;11/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1082.87
225;1121011102;Taxa de Autorização de Funcionamento de Transporte;11/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;579.1
226;1910011100;Multas Previstas em Legislação de Trânsito;12/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1663.70
227;1121011102;Taxa de Autorização de Funcionamento de Transporte;12/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;786.8
228;1910011100;Multas Previstas em Legislação de Trânsito;13/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2011.67
229;1121011102;Taxa de Autorização de Funcionamento de Transporte;13/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;498.1
230;1910011100;Multas Previstas em Legislação de Trânsito;14/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;791.66
231;1121011102;Taxa de Autorização de Funcionamento de Transporte;14/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;83.6
232;1910011100;Multas Previstas em Legislação de Trânsito;17/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2438.89
233;1121011102;Taxa de Autorização de Funcionamento de Transporte;17/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;410.2
234;1910011100;Multas Previstas em Legislação de Trânsito;18/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1283.40
235;1121011102;Taxa de Autorização de Funcionamento de Transporte;18/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;243.8
236;1990991100;Outras Receitas;18/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;0;0;4326.00
237;1121011102;Taxa de Autorização de Funcionamento de Transporte;19/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;83.5
238;1910011100;Multas Previstas em Legislação de Trânsito;19/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1331.34
239;1121011102;Taxa de Autorização de Funcionamento de Transporte;24/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;508.1
240;1121011102;Taxa de Autorização de Funcionamento de Transporte;24/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;255.3
241;1910011100;Multas Previstas em Legislação de Trânsito;25/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2248.66
242;1910011100;Multas Previstas em Legislação de Trânsito;26/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2295.22
243;1910011100;Multas Previstas em Legislação de Trânsito;26/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1909.74
244;1910011100;Multas Previstas em Legislação de Trânsito;26/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;670.54
